Timestamp,What is your Gender,How old are you?,"Do you have any old unused electronic devices (phones, tablets, laptops, computers) at home? How many?","Have you ever sent any of your devices (phones, tablets, laptops, computers) for recycling?","If you don't send them for recycling, what is your reason? (please tick all that apply)","If you are afraid that your data might be abused: If you could track your device during the recycling process and see which companies take care of it, would that encourage you to submit your devices in the future?",Anything else you would like to add?
26.04.2023 20:51:24,Other,40-49,2-3,Yes,"I am afraid that my data on these devices may be abused., I might need the device someday.",Yes,
27.04.2023 09:44:42,Male,19-29,1,Yes,I might need the device someday.,Yes,
27.04.2023 10:42:53,Male,60+,2-3,Yes,I might need the device someday.,Yes,
27.04.2023 11:50:21,Male,60+,2-3,Yes,I might need the device someday.,No,
27.04.2023 13:37:01,Female,40-49,0,Yes,,No,-
27.04.2023 15:02:51,Female,30-39,2-3,Yes,"I am afraid that my data on these devices may be abused., I do not know where to submit these items for recycling., I might need the device someday.",No,"I do not believe that my e-waste will be recycled responsibly and I don't want old phones, laptops etc. to end up in west African dumping sites where they are stripped apart, burned, and melted down next to children's homes. E-waste from rich countries is known to be a major source of environmental pollution in the Global South. "
27.04.2023 17:46:57,Male,40-49,4-6,No,"I am afraid that my data on these devices may be abused., I do not know where to submit these items for recycling.",No,
27.04.2023 21:08:43,Male,19-29,1,No,"I do not know where to submit these items for recycling., I do not know that these items are recyclable.",Yes,I reside in Saudi Arabia 
28.04.2023 07:06:47,Male,60+,4-6,Yes,"I am afraid that my data on these devices may be abused., I might need the device someday.",Yes,
29.04.2023 23:37:02,Male,40-49,7+,Yes,,Yes,
